[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.044003s ]
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Tag[ view_filter ] --START--
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Tag[ view_end ] --START--
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-07-08T11:35:25+08:00 ] /QA/index.php/index/index | INFO: Tag[ route_check ] --START--
[ 2016-07-08T11:35:25+08:00 ] /QA/index.php/index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2016-07-08T11:35:25+08:00 ] /QA/index.php/index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2016-07-08T11:35:25+08:00 ] /QA/index.php/index/index | INFO: Tag[ app_begin ] --START--
[ 2016-07-08T11:35:25+08:00 ] /QA/index.php/index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-07-08T11:35:25+08:00 ] /QA/index.php/index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.008000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.000000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.001000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.001000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.007001s ]
